micros,aX,aY,aZ,gX,gY,gZ,
115575364,-43.46,-32.71,1009.28,-2.23,0.82,0.41,
115595373,-32.71,-29.30,1024.41,-1.71,-2.26,-0.38,
115615379,-37.60,-25.39,1008.30,-0.14,-1.59,0.78,
115635388,-33.20,-28.32,1002.93,-1.54,-0.56,0.08,
115655397,-35.16,-14.65,1012.70,0.72,-0.50,0.23,
115675404,-34.18,-35.16,1014.65,-0.14,-1.60,1.28,
115695410,-38.57,-34.18,1017.09,-1.28,-1.02,1.45,
115715416,-49.32,-29.79,1004.88,1.31,-0.08,-0.09,
115735422,-27.34,-32.71,1023.44,1.19,-2.52,0.47,
115755426,-42.97,-31.25,1002.93,-0.72,-0.90,1.89,
115775437,-32.71,-26.37,1010.74,2.38,0.99,-2.32,
115795442,-33.20,-24.90,1006.35,0.96,-1.48,-0.41,
115815447,-33.69,-41.02,988.28,0.72,-0.92,-1.56,
115835454,-55.66,-1.46,1036.13,-1.63,1.79,-2.17,
115855459,-42.48,-21.00,1007.81,0.67,0.98,-0.03,
115875470,-28.81,-31.74,1011.72,1.51,1.37,0.93,
115895475,-7.32,-13.18,1025.88,0.50,2.44,-1.07,
115915482,-46.88,-37.11,1006.84,0.26,-0.05,-1.18,
115935490,-23.93,-27.83,1001.95,-0.96,-1.21,-0.05,
115955498,-38.57,-37.60,1006.35,1.53,-0.56,1.62,
115975505,-36.13,-16.11,1019.04,-0.23,1.01,0.81,
115995510,-133.30,-74.22,931.15,-1.11,1.86,-0.41,
116015519,474.12,59.57,1099.61,12.49,9.33,0.81,
116035528,42.97,-46.88,860.35,21.28,2.26,-52.21,
116055534,70.31,-250.00,2196.29,-40.27,-187.01,-90.02,
116075539,665.04,-100.59,1052.73,-8.61,-310.79,-90.44,
116095550,319.34,254.88,1104.49,-56.15,-15.07,-2.93,
116115561,339.36,-125.00,1397.46,-74.18,3.04,33.76,
116135571,515.62,-178.71,1291.99,-43.73,43.62,35.42,
116155581,583.98,-124.02,1312.99,-46.64,56.75,20.98,
116175590,314.94,-191.89,1566.89,-72.79,26.34,10.72,
116195597,310.55,-266.11,1237.30,-91.54,47.28,34.14,
116215606,308.59,-383.30,891.11,-52.95,63.31,54.72,
116235617,105.47,-429.69,1349.12,-32.21,7.68,49.50,
116255622,261.23,-358.89,1379.88,-35.60,-8.58,38.72,
116275630,306.64,-318.36,1253.91,-44.29,1.68,28.76,
116295637,300.29,-447.75,1339.36,-60.00,-29.33,6.63,
116315646,81.05,-532.71,1317.87,-60.69,-50.41,-3.97,
116335655,168.46,-525.39,1231.45,-46.85,-90.38,-24.85,
