micros,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,
6278679,62.99,-8.30,-949.22,-10.29,-21.56,-1.56,4.50,9.45,16.20,
6298686,73.24,-38.09,-1042.97,13.30,-0.23,3.13,5.25,10.50,16.65,
6318696,33.69,2.44,-983.40,17.02,7.01,0.66,5.10,8.10,17.10,
6338707,46.39,25.88,-910.64,6.98,12.82,2.64,4.65,8.10,16.80,
6358715,31.25,6.35,-920.90,-2.75,-0.08,-5.19,3.45,8.70,16.65,
6378719,78.61,-9.77,-1019.53,-0.08,-1.82,-0.26,3.75,8.70,14.55,
6398726,46.39,19.04,-997.07,5.27,2.31,3.53,5.25,8.40,15.90,
6418737,61.52,-1.46,-965.33,4.05,1.98,0.08,1.65,9.00,15.60,
6438748,61.52,2.93,-1064.94,8.73,-1.11,-5.11,3.45,9.00,16.65,
6458755,55.66,17.09,-892.09,8.58,2.24,-0.43,4.35,8.10,15.30,
6478762,102.54,-50.29,-1086.91,-2.72,-4.89,2.31,3.30,8.55,16.80,
6498769,63.96,-53.22,-1063.96,8.20,-0.38,3.77,4.65,9.30,16.35,
6518780,21.00,-12.21,-960.45,15.48,-0.98,-0.49,3.60,8.55,16.80,
6538788,12.21,-23.44,-937.99,5.94,-7.82,-3.57,3.75,6.90,16.95,
6558797,53.71,-35.64,-933.11,5.66,-15.40,-4.15,4.20,9.45,16.65,
6578808,82.52,6.35,-1047.85,0.50,-4.95,-3.28,4.05,7.05,16.05,
6598817,44.92,-34.18,-968.26,2.58,-4.85,-3.71,5.25,7.20,15.90,
6618824,84.96,-33.20,-1081.54,6.06,13.31,1.33,4.95,7.20,16.65,
6638834,35.64,-50.78,-996.58,20.03,18.46,0.76,5.70,8.55,15.75,
6658841,5.86,-5.37,-972.66,16.17,7.85,-4.11,4.65,7.05,15.30,
6678847,92.29,-44.43,-960.94,-0.40,-1.08,-3.47,5.40,8.55,14.25,
6698857,77.64,-25.39,-1044.92,5.73,15.91,5.68,4.05,7.35,15.30,
6718867,91.80,-3.42,-973.63,-2.82,11.65,4.20,4.20,7.20,15.15,
6738877,75.20,-41.50,-1042.48,-4.92,-8.09,-2.63,4.35,6.30,15.00,
6758887,89.36,-35.64,-1059.57,-1.50,-3.47,0.24,3.45,7.20,16.20,
6778898,-10.74,-26.37,-962.89,-5.92,-17.25,-2.02,3.75,7.95,16.20,
6798903,95.21,-8.79,-1029.30,3.86,-7.05,-1.76,4.20,5.85,15.90,
6818912,42.48,-27.83,-970.70,1.60,9.21,-3.86,5.55,7.20,15.15,
6838919,78.12,-39.06,-919.43,4.60,11.86,-0.64,6.15,6.30,15.30,
6858926,59.57,-54.69,-979.49,-0.93,9.10,-3.34,5.40,6.75,16.05,
6878936,91.80,-64.45,-1029.30,-0.90,7.16,-0.70,4.05,6.75,16.05,
